Primary Genre,Subgenre
Avant-garde,Crossover music
Avant-garde,Danger music
Avant-garde,Drone music
Avant-garde,Electroacoustic
Avant-garde,Industrial music
Avant-garde,Instrumental
Avant-garde,Lo-fi
Avant-garde,Musical improvisation
Avant-garde,Musique concrète
Avant-garde,Noise
Avant-garde,Outsider music
Avant-garde,Progressive music
Avant-garde,Psychedelic music
Avant-garde,Underground music
Blues,African blues
Blues,Blues rock
Blues,British blues
Blues,Canadian blues
Blues,Chicago blues
Blues,Classic female blues
Blues,Contemporary R&B
Blues,Country blues
Blues,Delta blues
Blues,Desert blues
Blues,Detroit blues
Blues,Doo-wop
Blues,Electric blues
Blues,Gospel blues
Blues,Hill country blues
Blues,Hokum blues
Blues,Jump blues
Blues,Kansas City blues
Blues,Louisiana blues
Blues,Memphis blues
Blues,New Orleans blues
Blues,Piedmont blues
Blues,Punk blues
Blues,Rhythm and blues
Blues,Soul blues
Blues,St. Louis blues
Blues,Swamp blues
Blues,Talking blues
Blues,Texas blues
Blues,West Coast blues
Classical,20th and 21st-centuries classical music
Classical,Andalusian classical music
Classical,Ars antiqua
Classical,Ars nova
Classical,Ars subtilior
Classical,Baroque music
Classical,Classical period
Classical,Contemporary classical music
Classical,Early music
Classical,Experimental music
Classical,Galant music
Classical,High modernism
Classical,Impressionism
Classical,Indian classical music
Classical,Korean court music
Classical,Kurdish classical music
Classical,Medieval music
Classical,Minimal music
Classical,Modernism
Classical,Neoclassicism
Classical,Ottoman music
Classical,Persian classical music
Classical,Postmodern music
Classical,Renaissance music
Classical,Romantic music
Classical,Western classical music
Country,Alternative country
Country,Americana
Country,Australian country
Country,Bakersfield sound
Country,Blue Yodeling
Country,Bluegrass
Country,Bluegrass gospel
Country,Bro-country
Country,Bush band
Country,Cajun
Country,Cajun fiddle
Country,Canadian country
Country,Christian country
Country,Classic country
Country,Country and Irish
Country,Country blues
Country,Country folk
Country,Country pop
Country,Country rap
Country,Country rock
Country,Countrypolitan
Country,Cowboy pop
Country,Cowpunk
Country,Dansband
Country,Franco-country
Country,Gothabilly
Country,Gothic country
Country,Gulf and Western
Country,Hokum
Country,Honky tonk
Country,Instrumental country
Country,Latin Country
Country,Lubbock sound
Country,Nashville sound
Country,Neotraditional country
Country,New country
Country,New Mexico music
Country,Old-time
Country,Old-time bluegrass
Country,Outlaw country
Country,Pop country
Country,Progressive bluegrass
Country,Progressive country
Country,Psychobilly
Country,Red dirt
Country,Regional Mexican
Country,Rockabilly
Country,Roots rock
Country,Scrumpy and Western
Country,Sertanejo
Country,Southern rock
Country,Southern soul
Country,Talking blues
Country,Tejano
Country,Texas country
Country,Traditional bluegrass
Country,Traditional country
Country,Truck-driving country
Country,Western music
Country,Western swing
Country,Zydeco
